[pyrunlim] version:		2.16
[pyrunlim] time limit:		300 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3]
[pyrunlim] cpu affinity:	[0, 1, 2, 3]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_6-n1 /home/berto/Desktop/Baxter-macro/ASP/Codes/ASP/clingo/data/7_6/p_7_6-n1.asp 7_6"
[pyrunlim] start:		Fri Jul 12 17:45:47 2019
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.061	     3.650	     0.010	      44.7	      44.7	       0.0
[pyrunlim] sample:		 20029.400	     4.960	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20029.918	     5.480	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20030.438	     5.990	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20030.949	     6.510	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20031.462	     7.020	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20031.974	     7.530	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20032.486	     8.040	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20032.999	     8.560	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20033.511	     9.070	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20034.023	     9.580	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20034.536	    10.090	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20035.048	    10.610	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20035.560	    11.120	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20036.081	    11.640	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20036.601	    12.150	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20037.614	    13.170	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20038.636	    14.190	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20039.654	    15.200	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20040.669	    16.210	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20041.682	    17.220	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20042.695	    18.220	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20043.708	    19.230	     0.030	      49.8	      49.8	       0.0
[pyrunlim] sample:		 20044.721	    19.230	     0.030	      49.8	      13.3	       0.0
[pyrunlim] sample:		 20045.734	    19.230	     0.030	      49.8	      13.3	       0.0
[pyrunlim] sample:		 20046.746	    19.880	     0.050	      55.2	      55.2	       0.0
[pyrunlim] sample:		 20047.758	    20.890	     0.050	      55.2	      55.2	       0.0
[pyrunlim] sample:		 20048.771	    21.910	     0.050	      55.2	      55.2	       0.0
[pyrunlim] sample:		 20049.783	    22.920	     0.050	      55.2	      55.2	       0.0
