(DECREASE_ANGLE_D LINK1 LINK2 ANGLE180 ANGLE135)
(DECREASE_ANGLE_D LINK3 LINK4 ANGLE90 ANGLE45)
(DECREASE_ANGLE_D LINK3 LINK4 ANGLE45 ANGLE0)
(INCREASE_ANGLE_F LINK3 LINK2 ANGLE0 ANGLE45)
(INCREASE_ANGLE_D LINK4 LINK5 ANGLE225 ANGLE270)
(INCREASE_ANGLE_F LINK4 LINK3 ANGLE270 ANGLE315)
(DECREASE_ANGLE_D LINK2 LINK3 ANGLE90 ANGLE45)
(INCREASE_ANGLE_F LINK3 LINK2 ANGLE90 ANGLE135)
(INCREASE_ANGLE_D LINK4 LINK5 ANGLE0 ANGLE45)
(INCREASE_ANGLE_D LINK4 LINK5 ANGLE45 ANGLE90)
(INCREASE_ANGLE_D LINK4 LINK5 ANGLE90 ANGLE135)
