(DECREASE_ANGLE_F LINK3 LINK2 ANGLE90 ANGLE60)
(DECREASE_ANGLE_D LINK3 LINK4 ANGLE60 ANGLE30)
(DECREASE_ANGLE_D LINK3 LINK4 ANGLE30 ANGLE0)
(DECREASE_ANGLE_D LINK3 LINK4 ANGLE0 ANGLE330)
(DECREASE_ANGLE_D LINK3 LINK4 ANGLE330 ANGLE300)
(INCREASE_ANGLE_F LINK4 LINK3 ANGLE0 ANGLE30)
(DECREASE_ANGLE_D LINK3 LINK4 ANGLE300 ANGLE270)
(INCREASE_ANGLE_F LINK5 LINK4 ANGLE30 ANGLE60)
(INCREASE_ANGLE_D LINK5 LINK6 ANGLE60 ANGLE90)
(INCREASE_ANGLE_D LINK5 LINK6 ANGLE90 ANGLE120)
(INCREASE_ANGLE_D LINK5 LINK6 ANGLE120 ANGLE150)
