[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_5_8_n10 /home/emarolab/ASP/CAPF/ASP/clingo/data/5_8/5_8_n10.asp 5_8"
[pyrunlim] start:		Tue May 29 16:27:30 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.435	     0.010	     0.000	      10.0	      10.0	       0.0
[pyrunlim] sample:		    20.205	     1.160	     0.000	      24.1	      10.0	       0.0
[pyrunlim] sample:		    30.867	     7.350	     0.000	      26.5	      26.5	       0.0
[pyrunlim] sample:		    40.006	    16.490	     0.000	      27.2	      27.2	       0.0
[pyrunlim] sample:		    50.158	    23.880	     0.000	      28.0	      28.0	       0.0
[pyrunlim] sample:		    60.314	    34.030	     0.000	      29.3	      29.3	       0.0
[pyrunlim] sample:		    70.468	    44.180	     0.000	      30.3	      30.3	       0.0
[pyrunlim] sample:		    80.623	    54.330	     0.000	      32.2	      32.2	       0.0
[pyrunlim] sample:		    90.780	    64.490	     0.000	      32.2	      32.2	       0.0
[pyrunlim] sample:		   100.934	    71.720	     0.010	      32.2	      28.9	       0.0
[pyrunlim] sample:		   110.076	    80.860	     0.010	      32.5	      32.5	       0.0
[pyrunlim] sample:		   120.233	    91.020	     0.010	      36.6	      36.6	       0.0
[pyrunlim] sample:		   130.391	   101.180	     0.010	      36.6	      36.6	       0.0
[pyrunlim] sample:		   140.547	   111.330	     0.010	      38.4	      38.4	       0.0
[pyrunlim] sample:		   150.704	   121.490	     0.010	      38.4	      38.4	       0.0
[pyrunlim] sample:		   160.861	   131.640	     0.010	      38.7	      38.7	       0.0
[pyrunlim] sample:		   170.004	   140.790	     0.010	      39.4	      39.4	       0.0
[pyrunlim] sample:		   180.162	   150.950	     0.010	      40.5	      40.5	       0.0
[pyrunlim] sample:		   190.319	   161.100	     0.010	      40.5	      40.5	       0.0
[pyrunlim] sample:		   200.475	   171.260	     0.010	      40.5	      40.5	       0.0
[pyrunlim] sample:		   210.632	   181.410	     0.010	      41.5	      41.5	       0.0
[pyrunlim] sample:		   220.787	   191.570	     0.010	      42.0	      42.0	       0.0
[pyrunlim] sample:		   230.947	   201.730	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		   240.092	   210.870	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		   250.252	   221.030	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		   260.410	   231.190	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		   270.570	   241.350	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		   280.730	   251.510	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   290.890	   261.670	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   300.032	   270.810	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   310.192	   280.970	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   320.352	   291.130	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   330.508	   301.290	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   340.665	   311.440	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   350.822	   321.600	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   360.981	   331.760	     0.010	      45.9	      45.9	       0.0
[pyrunlim] sample:		   370.126	   338.000	     0.010	      45.9	      27.7	       0.0
[pyrunlim] sample:		   380.373	   348.240	     0.020	      45.9	      31.2	       0.0
[pyrunlim] sample:		   390.616	   358.480	     0.020	      45.9	      35.3	       0.0
[pyrunlim] sample:		   400.860	   368.730	     0.020	      45.9	      35.3	       0.0
[pyrunlim] sample:		   410.079	   377.950	     0.020	      45.9	      38.4	       0.0
[pyrunlim] sample:		   420.320	   388.190	     0.020	      45.9	      38.7	       0.0
[pyrunlim] sample:		   430.562	   398.430	     0.020	      45.9	      40.2	       0.0
[pyrunlim] sample:		   440.760	   408.630	     0.020	      45.9	      40.2	       0.0
[pyrunlim] sample:		   450.919	   418.780	     0.020	      45.9	      40.5	       0.0
[pyrunlim] sample:		   460.063	   427.930	     0.020	      45.9	      41.0	       0.0
[pyrunlim] sample:		   470.220	   438.080	     0.020	      45.9	      43.1	       0.0
[pyrunlim] sample:		   480.377	   448.240	     0.020	      45.9	      43.1	       0.0
[pyrunlim] sample:		   490.534	   458.400	     0.020	      45.9	      43.1	       0.0
[pyrunlim] sample:		   500.692	   468.560	     0.020	      45.9	      43.3	       0.0
[pyrunlim] sample:		   510.850	   478.710	     0.020	      45.9	      44.4	       0.0
[pyrunlim] sample:		   521.008	   488.870	     0.020	      46.7	      46.7	       0.0
[pyrunlim] sample:		   530.150	   498.010	     0.020	      46.7	      46.7	       0.0
[pyrunlim] sample:		   540.309	   508.170	     0.020	      46.7	      46.7	       0.0
[pyrunlim] sample:		   550.468	   518.330	     0.020	      46.7	      46.7	       0.0
[pyrunlim] sample:		   560.626	   528.490	     0.020	      46.7	      46.7	       0.0
[pyrunlim] sample:		   570.785	   538.650	     0.020	      46.7	      46.7	       0.0
[pyrunlim] sample:		   580.944	   548.810	     0.020	      47.7	      47.7	       0.0
[pyrunlim] sample:		   590.087	   557.950	     0.020	      48.0	      48.0	       0.0
[pyrunlim] sample:		   600.247	   568.110	     0.020	      48.5	      48.5	       0.0
[pyrunlim] sample:		   610.406	   578.260	     0.020	      48.5	      48.5	       0.0
[pyrunlim] sample:		   620.565	   588.420	     0.020	      48.5	      48.5	       0.0
[pyrunlim] sample:		   630.725	   598.580	     0.020	      48.5	      48.5	       0.0
[pyrunlim] sample:		   640.884	   608.740	     0.020	      48.7	      48.7	       0.0
[pyrunlim] sample:		   650.027	   617.880	     0.020	      49.5	      49.5	       0.0
[pyrunlim] sample:		   660.186	   628.040	     0.020	      49.5	      49.5	       0.0
[pyrunlim] sample:		   670.346	   638.200	     0.020	      50.3	      50.3	       0.0
[pyrunlim] sample:		   680.505	   648.360	     0.020	      51.1	      51.1	       0.0
[pyrunlim] sample:		   690.663	   658.520	     0.020	      51.6	      51.6	       0.0
[pyrunlim] sample:		   700.822	   668.680	     0.020	      53.1	      53.1	       0.0
[pyrunlim] sample:		   710.984	   678.840	     0.020	      53.4	      53.4	       0.0
[pyrunlim] sample:		   720.125	   687.980	     0.020	      53.4	      53.4	       0.0
