[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_5_8_n2 /home/emarolab/ASP/CAPF/ASP/clingo/data/5_8/5_8_n2.asp 5_8"
[pyrunlim] start:		Tue Jun  5 13:26:05 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.380	    10.350	     0.000	      31.5	      31.5	       0.0
[pyrunlim] sample:		    20.118	    20.090	     0.000	      33.9	      33.9	       0.0
[pyrunlim] sample:		    30.762	    30.730	     0.000	      35.9	      35.9	       0.0
[pyrunlim] sample:		    40.895	    40.860	     0.000	      40.3	      40.3	       0.0
[pyrunlim] sample:		    50.013	    49.980	     0.000	      43.9	      43.9	       0.0
[pyrunlim] sample:		    60.145	    60.110	     0.000	      46.5	      46.5	       0.0
[pyrunlim] sample:		    70.277	    70.250	     0.000	      47.0	      47.0	       0.0
[pyrunlim] sample:		    80.409	    80.370	     0.000	      47.0	      47.0	       0.0
[pyrunlim] sample:		    90.540	    90.500	     0.000	      47.0	      47.0	       0.0
[pyrunlim] sample:		   100.672	   100.630	     0.000	      50.1	      50.1	       0.0
[pyrunlim] sample:		   110.804	   110.760	     0.010	      50.9	      50.9	       0.0
[pyrunlim] sample:		   120.937	   120.900	     0.010	      51.7	      51.7	       0.0
[pyrunlim] sample:		   130.057	   130.010	     0.010	      51.7	      51.7	       0.0
[pyrunlim] sample:		   140.190	   140.150	     0.010	      51.7	      51.7	       0.0
[pyrunlim] sample:		   150.324	   150.280	     0.010	      52.9	      52.9	       0.0
[pyrunlim] sample:		   160.457	   160.420	     0.010	      52.9	      52.9	       0.0
[pyrunlim] sample:		   170.590	   170.550	     0.010	      52.9	      52.9	       0.0
[pyrunlim] sample:		   180.723	   180.680	     0.010	      52.9	      52.9	       0.0
[pyrunlim] sample:		   190.856	   190.810	     0.010	      52.9	      52.9	       0.0
[pyrunlim] sample:		   200.988	   200.940	     0.010	      53.5	      53.5	       0.0
[pyrunlim] sample:		   210.108	   210.060	     0.010	      53.5	      53.5	       0.0
[pyrunlim] sample:		   220.241	   220.200	     0.010	      55.0	      55.0	       0.0
[pyrunlim] sample:		   230.375	   230.330	     0.010	      56.0	      56.0	       0.0
[pyrunlim] sample:		   240.509	   240.460	     0.010	      56.0	      56.0	       0.0
[pyrunlim] sample:		   250.642	   250.590	     0.010	      58.9	      58.9	       0.0
[pyrunlim] sample:		   260.776	   260.730	     0.010	      58.9	      58.9	       0.0
[pyrunlim] sample:		   270.909	   270.860	     0.010	      58.9	      58.9	       0.0
[pyrunlim] sample:		   280.029	   279.980	     0.010	      58.9	      58.9	       0.0
[pyrunlim] sample:		   290.163	   290.110	     0.010	      58.9	      58.9	       0.0
[pyrunlim] sample:		   300.297	   300.240	     0.010	      58.9	      58.9	       0.0
[pyrunlim] sample:		   310.430	   310.380	     0.010	      60.2	      60.2	       0.0
[pyrunlim] sample:		   320.565	   320.510	     0.010	      60.4	      60.4	       0.0
[pyrunlim] sample:		   330.699	   330.650	     0.010	      60.4	      60.4	       0.0
[pyrunlim] sample:		   340.835	   340.780	     0.010	      60.4	      60.4	       0.0
[pyrunlim] sample:		   350.970	   350.920	     0.010	      61.5	      61.5	       0.0
[pyrunlim] sample:		   360.089	   360.040	     0.010	      61.5	      61.5	       0.0
[pyrunlim] sample:		   370.221	   370.170	     0.010	      61.5	      61.5	       0.0
[pyrunlim] sample:		   380.353	   380.300	     0.010	      63.8	      63.8	       0.0
[pyrunlim] sample:		   390.484	   390.430	     0.010	      69.2	      69.2	       0.0
[pyrunlim] sample:		   400.617	   400.560	     0.010	      70.2	      70.2	       0.0
[pyrunlim] sample:		   410.749	   410.690	     0.010	      70.2	      70.2	       0.0
[pyrunlim] sample:		   420.881	   420.820	     0.010	      70.2	      70.2	       0.0
[pyrunlim] sample:		   430.000	   429.940	     0.010	      70.2	      70.2	       0.0
[pyrunlim] sample:		   440.134	   440.080	     0.010	      74.3	      74.3	       0.0
[pyrunlim] sample:		   450.268	   450.210	     0.010	      74.3	      74.3	       0.0
[pyrunlim] sample:		   460.402	   460.350	     0.010	      74.3	      74.3	       0.0
[pyrunlim] sample:		   470.536	   470.480	     0.010	      74.3	      74.3	       0.0
[pyrunlim] sample:		   480.669	   480.610	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   490.802	   490.750	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   500.935	   500.880	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   510.055	   510.000	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   520.189	   520.130	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   530.323	   530.260	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   540.458	   540.400	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   550.591	   550.530	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   560.724	   560.660	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   570.858	   570.800	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   580.993	   580.930	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   590.127	   590.070	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   600.285	   600.220	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   610.442	   610.380	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   620.600	   620.540	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   630.757	   630.690	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   640.915	   640.850	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   650.057	   649.990	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   660.257	   660.190	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   670.493	   670.430	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   680.649	   680.590	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   690.805	   690.740	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   700.961	   700.900	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   710.102	   710.040	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   720.258	   720.200	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   730.413	   730.350	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   740.569	   740.510	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   750.726	   750.660	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   760.882	   760.820	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   770.023	   769.960	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   780.180	   780.120	     0.010	      74.4	      74.4	       0.0
[pyrunlim] sample:		   790.336	   790.270	     0.010	      74.9	      74.9	       0.0
[pyrunlim] sample:		   800.493	   800.420	     0.020	      75.7	      75.7	       0.0
[pyrunlim] sample:		   810.651	   810.580	     0.020	      75.7	      75.7	       0.0
[pyrunlim] sample:		   820.808	   820.740	     0.020	      75.7	      75.7	       0.0
