[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_6_8_n10 /home/emarolab/ASP/CAPF/ASP/clingo/data/6_8/6_8_n10.asp 6_8"
[pyrunlim] start:		Thu Jun  7 16:39:12 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.007	     0.000	     0.000	       9.2	       9.2	       0.0
[pyrunlim] sample:		    20.306	     1.430	     0.000	      25.1	       9.2	       0.0
[pyrunlim] sample:		    30.934	     8.870	     0.000	      28.3	      28.3	       0.0
[pyrunlim] sample:		    40.034	    17.970	     0.000	      28.3	      28.3	       0.0
[pyrunlim] sample:		    50.145	    28.080	     0.000	      30.9	      30.9	       0.0
[pyrunlim] sample:		    60.266	    36.170	     0.000	      30.9	       9.2	       0.0
[pyrunlim] sample:		    70.376	    45.310	     0.000	      30.9	      30.2	       0.0
[pyrunlim] sample:		    80.486	    55.420	     0.000	      31.7	      31.7	       0.0
[pyrunlim] sample:		    90.597	    65.530	     0.000	      33.2	      33.2	       0.0
[pyrunlim] sample:		   100.709	    75.640	     0.000	      34.3	      34.3	       0.0
[pyrunlim] sample:		   110.820	    85.760	     0.000	      34.5	      34.5	       0.0
[pyrunlim] sample:		   120.931	    95.860	     0.000	      35.6	      35.6	       0.0
[pyrunlim] sample:		   130.031	   104.960	     0.000	      38.1	      38.1	       0.0
[pyrunlim] sample:		   140.142	   115.080	     0.000	      38.1	      38.1	       0.0
[pyrunlim] sample:		   150.254	   125.190	     0.000	      39.2	      39.2	       0.0
[pyrunlim] sample:		   160.365	   135.300	     0.000	      39.2	      39.2	       0.0
