[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_6_9_n10 /home/emarolab/ASP/CAPF/ASP/clingo/data/6_9/6_9_n10.asp 6_9"
[pyrunlim] start:		Tue Jun 12 15:46:03 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.310	    10.260	     0.010	      44.4	      43.3	       0.0
[pyrunlim] sample:		    20.014	    19.960	     0.010	      44.4	      43.5	       0.0
[pyrunlim] sample:		    30.638	    30.590	     0.010	      44.4	      43.5	       0.0
[pyrunlim] sample:		    40.750	    40.700	     0.010	      45.1	      45.1	       0.0
[pyrunlim] sample:		    50.863	    50.810	     0.010	      46.6	      46.6	       0.0
[pyrunlim] sample:		    60.976	    60.930	     0.010	      47.4	      47.4	       0.0
[pyrunlim] sample:		    70.078	    70.010	     0.020	      54.6	      54.6	       0.0
[pyrunlim] sample:		    80.191	    80.130	     0.020	      63.4	      63.4	       0.0
[pyrunlim] sample:		    90.305	    90.240	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   100.419	   100.360	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   110.532	   110.470	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   120.646	   120.580	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   130.760	   130.700	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   140.875	   140.810	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   150.989	   150.930	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   160.091	   160.030	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   170.205	   170.140	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   180.319	   180.250	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   190.432	   190.370	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   200.547	   200.480	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   210.661	   210.600	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   220.774	   220.710	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   230.888	   230.820	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   241.002	   240.940	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   250.105	   250.040	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   260.220	   260.160	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   270.335	   270.270	     0.020	      63.7	      63.7	       0.0
[pyrunlim] sample:		   280.450	   280.380	     0.020	      63.7	      63.7	       0.0
