[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_12_n1 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_12/7_12_n1.asp 7_12"
[pyrunlim] start:		Sun Jun 10 07:02:17 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.506	     0.230	     0.000	      28.2	      19.2	       0.0
[pyrunlim] sample:		    20.284	     0.910	     0.000	      41.4	      32.4	       0.0
[pyrunlim] sample:		    30.938	     4.970	     0.030	      68.9	       9.2	       0.0
[pyrunlim] sample:		    40.053	    11.870	     0.030	      74.4	       9.2	       0.0
[pyrunlim] sample:		    50.170	    21.680	     0.050	      80.5	      80.5	       0.0
[pyrunlim] sample:		    60.297	    29.140	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		    70.412	    39.250	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		    80.529	    49.370	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		    90.645	    59.490	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   100.767	    68.590	     0.060	      86.7	       9.2	       0.0
[pyrunlim] sample:		   110.889	    77.580	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   121.007	    87.700	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   130.112	    96.800	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   140.229	   106.920	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   150.346	   117.030	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   160.464	   127.150	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   170.581	   137.270	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   180.699	   147.390	     0.090	      92.5	      92.5	       0.0
[pyrunlim] sample:		   190.825	   154.570	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   200.941	   164.680	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   210.046	   173.790	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   220.164	   183.910	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   230.283	   194.020	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   240.401	   204.140	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   250.519	   214.260	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   260.637	   224.380	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   270.754	   234.500	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   280.871	   244.610	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   290.989	   254.730	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   300.095	   263.840	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   310.211	   273.950	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   320.329	   284.070	     0.100	     108.5	      98.1	       0.0
[pyrunlim] sample:		   330.446	   294.190	     0.100	     108.5	      98.1	       0.0
