[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_8_6_n3 /home/emarolab/ASP/CAPF/ASP/clingo/data/8_6/8_6_n3.asp 8_6"
[pyrunlim] start:		Fri Jun  8 22:01:10 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.513	     0.000	     0.010	       8.5	       7.7	       0.0
[pyrunlim] sample:		    20.291	     2.100	     0.010	      22.0	       7.7	       0.0
[pyrunlim] sample:		    30.923	    11.190	     0.010	      24.0	       7.7	       0.0
[pyrunlim] sample:		    40.028	    18.790	     0.010	      25.4	      25.4	       0.0
[pyrunlim] sample:		    50.139	    28.890	     0.010	      26.9	      26.9	       0.0
[pyrunlim] sample:		    60.250	    39.010	     0.010	      27.7	      27.7	       0.0
[pyrunlim] sample:		    70.361	    49.120	     0.010	      29.0	      29.0	       0.0
[pyrunlim] sample:		    80.472	    59.230	     0.010	      29.0	      29.0	       0.0
[pyrunlim] sample:		    90.584	    69.340	     0.010	      29.3	      29.3	       0.0
[pyrunlim] sample:		   100.695	    79.450	     0.010	      30.0	      30.0	       0.0
[pyrunlim] sample:		   110.818	    87.260	     0.010	      30.0	      29.4	       0.0
[pyrunlim] sample:		   120.930	    97.370	     0.010	      32.0	      32.0	       0.0
[pyrunlim] sample:		   130.032	   106.470	     0.010	      35.6	      35.6	       0.0
[pyrunlim] sample:		   140.144	   116.580	     0.010	      37.1	      37.1	       0.0
[pyrunlim] sample:		   150.257	   126.690	     0.020	      41.3	      41.3	       0.0
[pyrunlim] sample:		   160.371	   136.800	     0.020	      41.5	      41.5	       0.0
[pyrunlim] sample:		   170.484	   146.920	     0.020	      41.5	      41.5	       0.0
[pyrunlim] sample:		   180.597	   157.030	     0.020	      41.5	      41.5	       0.0
[pyrunlim] sample:		   190.711	   167.140	     0.020	      43.6	      43.6	       0.0
[pyrunlim] sample:		   200.824	   177.260	     0.020	      43.6	      43.6	       0.0
[pyrunlim] sample:		   210.937	   187.370	     0.020	      43.6	      43.6	       0.0
[pyrunlim] sample:		   220.039	   196.470	     0.020	      45.9	      45.9	       0.0
[pyrunlim] sample:		   230.152	   206.580	     0.020	      45.9	      45.9	       0.0
[pyrunlim] sample:		   240.266	   216.690	     0.020	      45.9	      45.9	       0.0
[pyrunlim] sample:		   250.379	   226.800	     0.020	      45.9	      45.9	       0.0
[pyrunlim] sample:		   260.494	   236.920	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   270.608	   247.040	     0.020	      52.9	      52.9	       0.0
