[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_8_6_n7 /home/emarolab/ASP/CAPF/ASP/clingo/data/8_6/8_6_n7.asp 8_6"
[pyrunlim] start:		Sat Jun  9 01:02:31 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.017	     0.010	     0.000	       7.6	       7.6	       0.0
[pyrunlim] sample:		    20.335	     1.370	     0.000	      23.6	      23.6	       0.0
[pyrunlim] sample:		    30.978	     9.110	     0.000	      25.0	      25.0	       0.0
[pyrunlim] sample:		    40.085	    18.220	     0.000	      25.5	      25.5	       0.0
[pyrunlim] sample:		    50.206	    28.340	     0.000	      28.1	      28.1	       0.0
[pyrunlim] sample:		    60.326	    38.460	     0.000	      29.1	      29.1	       0.0
[pyrunlim] sample:		    70.446	    48.580	     0.000	      29.4	      29.4	       0.0
[pyrunlim] sample:		    80.580	    56.680	     0.000	      29.4	       7.6	       0.0
[pyrunlim] sample:		    90.698	    66.800	     0.000	      30.6	      30.6	       0.0
[pyrunlim] sample:		   100.816	    76.910	     0.000	      30.6	      30.6	       0.0
[pyrunlim] sample:		   110.933	    87.030	     0.000	      32.1	      32.1	       0.0
[pyrunlim] sample:		   120.039	    96.140	     0.000	      32.1	      32.1	       0.0
[pyrunlim] sample:		   130.156	   106.260	     0.000	      32.1	      32.1	       0.0
[pyrunlim] sample:		   140.273	   116.370	     0.000	      32.9	      32.9	       0.0
[pyrunlim] sample:		   150.391	   126.490	     0.000	      32.9	      32.9	       0.0
[pyrunlim] sample:		   160.508	   136.610	     0.000	      32.9	      32.9	       0.0
[pyrunlim] sample:		   170.626	   146.720	     0.000	      33.9	      33.9	       0.0
[pyrunlim] sample:		   180.743	   156.840	     0.000	      33.9	      33.9	       0.0
[pyrunlim] sample:		   190.861	   166.950	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   200.979	   177.060	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   210.085	   186.170	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   220.204	   196.290	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   230.322	   206.410	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   240.440	   216.520	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   250.557	   226.640	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   260.675	   236.760	     0.010	      37.3	      37.3	       0.0
[pyrunlim] sample:		   270.792	   246.880	     0.010	      37.8	      37.8	       0.0
[pyrunlim] sample:		   280.910	   256.990	     0.010	      37.8	      37.8	       0.0
[pyrunlim] sample:		   290.016	   266.100	     0.010	      37.8	      37.8	       0.0
[pyrunlim] sample:		   300.135	   276.220	     0.010	      38.1	      38.1	       0.0
[pyrunlim] sample:		   310.252	   286.340	     0.010	      38.1	      38.1	       0.0
[pyrunlim] sample:		   320.370	   296.450	     0.010	      39.1	      39.1	       0.0
[pyrunlim] sample:		   330.488	   306.570	     0.010	      39.1	      39.1	       0.0
[pyrunlim] sample:		   340.605	   316.690	     0.010	      39.1	      39.1	       0.0
[pyrunlim] sample:		   350.733	   324.090	     0.010	      39.1	      27.9	       0.0
[pyrunlim] sample:		   360.852	   334.200	     0.020	      39.1	      32.5	       0.0
[pyrunlim] sample:		   370.970	   344.320	     0.020	      39.1	      32.5	       0.0
[pyrunlim] sample:		   380.077	   353.430	     0.020	      40.8	      40.8	       0.0
[pyrunlim] sample:		   390.197	   363.550	     0.020	      40.8	      40.8	       0.0
[pyrunlim] sample:		   400.316	   373.670	     0.020	      40.8	      40.8	       0.0
[pyrunlim] sample:		   410.435	   383.780	     0.020	      40.8	      40.8	       0.0
[pyrunlim] sample:		   420.554	   393.900	     0.020	      40.8	      40.8	       0.0
[pyrunlim] sample:		   430.673	   404.020	     0.020	      40.8	      40.8	       0.0
[pyrunlim] sample:		   440.792	   414.140	     0.020	      43.3	      43.3	       0.0
[pyrunlim] sample:		   450.911	   424.260	     0.020	      43.3	      43.3	       0.0
[pyrunlim] sample:		   460.018	   433.370	     0.020	      43.3	      43.3	       0.0
[pyrunlim] sample:		   470.137	   443.490	     0.020	      49.3	      49.3	       0.0
[pyrunlim] sample:		   480.256	   453.610	     0.020	      49.3	      49.3	       0.0
