[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_8_9_n3 /home/emarolab/ASP/CAPF/ASP/clingo/data/8_9/8_9_n3.asp 8_9"
[pyrunlim] start:		Wed Jun 13 08:16:53 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.000	     0.000	     0.000	       9.2	       9.2	       0.0
[pyrunlim] sample:		    20.326	     1.010	     0.000	      42.1	      42.1	       0.0
[pyrunlim] sample:		    30.979	     9.570	     0.000	      45.8	      45.8	       0.0
[pyrunlim] sample:		    40.103	    15.800	     0.010	      49.7	      49.7	       0.0
[pyrunlim] sample:		    50.229	    25.920	     0.010	      49.7	      49.7	       0.0
[pyrunlim] sample:		    60.355	    36.050	     0.010	      49.7	      49.7	       0.0
[pyrunlim] sample:		    70.488	    43.450	     0.010	      53.4	      53.4	       0.0
[pyrunlim] sample:		    80.614	    53.580	     0.010	      53.4	      53.4	       0.0
[pyrunlim] sample:		    90.739	    63.710	     0.010	      53.4	      53.4	       0.0
[pyrunlim] sample:		   100.865	    73.830	     0.010	      53.4	      53.4	       0.0
[pyrunlim] sample:		   110.991	    83.960	     0.010	      53.4	      53.4	       0.0
[pyrunlim] sample:		   120.104	    93.070	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   130.230	   103.190	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   140.355	   113.320	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   150.481	   123.450	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   160.607	   133.570	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   170.733	   143.700	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   180.860	   153.820	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   190.986	   163.950	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   200.100	   173.060	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   210.226	   183.190	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   220.353	   193.320	     0.010	      53.9	      53.9	       0.0
