[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_10_4_n3 /home/emarolab/ASP/CAPF/ASP/clingo/data/10_4/10_4_n3.asp 10_4"
[pyrunlim] start:		Mon Jun 11 19:47:11 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.321	    10.300	     0.000	      26.0	      26.0	       0.0
[pyrunlim] sample:		    20.029	    20.010	     0.000	      31.4	      31.4	       0.0
[pyrunlim] sample:		    30.655	    30.640	     0.000	      31.5	      31.5	       0.0
[pyrunlim] sample:		    40.770	    40.750	     0.000	      33.6	      33.6	       0.0
[pyrunlim] sample:		    50.885	    50.860	     0.000	      39.2	      39.2	       0.0
[pyrunlim] sample:		    61.000	    60.980	     0.000	      39.2	      39.2	       0.0
[pyrunlim] sample:		    70.102	    70.080	     0.000	      39.2	      39.2	       0.0
[pyrunlim] sample:		    80.217	    80.190	     0.000	      39.3	      39.3	       0.0
[pyrunlim] sample:		    90.331	    90.310	     0.000	      39.3	      39.3	       0.0
[pyrunlim] sample:		   100.446	   100.430	     0.000	      42.2	      42.2	       0.0
[pyrunlim] sample:		   110.561	   110.540	     0.000	      42.2	      42.2	       0.0
[pyrunlim] sample:		   120.676	   120.650	     0.000	      42.2	      42.2	       0.0
[pyrunlim] sample:		   130.792	   130.770	     0.000	      42.2	      42.2	       0.0
[pyrunlim] sample:		   140.908	   140.890	     0.000	      47.3	      47.3	       0.0
[pyrunlim] sample:		   150.011	   149.990	     0.000	      47.3	      47.3	       0.0
[pyrunlim] sample:		   160.126	   160.100	     0.000	      50.7	      50.7	       0.0
[pyrunlim] sample:		   170.242	   170.210	     0.010	      57.1	      57.1	       0.0
[pyrunlim] sample:		   180.359	   180.330	     0.010	      57.1	      57.1	       0.0
[pyrunlim] sample:		   190.475	   190.440	     0.010	      57.1	      57.1	       0.0
[pyrunlim] sample:		   200.592	   200.560	     0.010	      57.1	      57.1	       0.0
[pyrunlim] sample:		   210.708	   210.680	     0.010	      57.1	      57.1	       0.0
[pyrunlim] sample:		   220.825	   220.790	     0.010	      57.1	      56.6	       0.0
[pyrunlim] sample:		   230.940	   230.910	     0.010	      57.1	      56.6	       0.0
[pyrunlim] sample:		   240.045	   240.010	     0.010	      57.1	      56.6	       0.0
[pyrunlim] sample:		   250.161	   250.130	     0.010	      57.1	      56.6	       0.0
[pyrunlim] sample:		   260.277	   260.240	     0.010	      57.1	      56.6	       0.0
[pyrunlim] sample:		   270.393	   270.360	     0.010	      64.9	      64.9	       0.0
[pyrunlim] sample:		   280.510	   280.480	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   290.626	   290.600	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   300.743	   300.710	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   310.860	   310.830	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   320.978	   320.940	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   330.083	   330.050	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   340.200	   340.170	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   350.317	   350.280	     0.010	      73.6	      73.6	       0.0
[pyrunlim] sample:		   360.434	   360.400	     0.010	      73.6	      73.6	       0.0
