[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_10_6_n10 /home/emarolab/ASP/CAPF/ASP/clingo/data/10_6/10_6_n10.asp 10_6"
[pyrunlim] start:		Sat Jun  9 05:04:09 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.505	     0.000	     0.000	       7.5	       7.5	       0.0
[pyrunlim] sample:		    20.268	     3.330	     0.010	      26.7	      26.7	       0.0
[pyrunlim] sample:		    30.890	    11.500	     0.010	      28.8	      28.8	       0.0
[pyrunlim] sample:		    41.001	    21.610	     0.010	      33.0	      33.0	       0.0
[pyrunlim] sample:		    50.101	    30.710	     0.010	      33.0	      33.0	       0.0
[pyrunlim] sample:		    60.212	    40.820	     0.010	      33.0	      33.0	       0.0
[pyrunlim] sample:		    70.324	    50.930	     0.010	      33.0	      33.0	       0.0
[pyrunlim] sample:		    80.444	    58.090	     0.010	      33.0	      32.6	       0.0
[pyrunlim] sample:		    90.555	    68.200	     0.010	      33.0	      32.6	       0.0
[pyrunlim] sample:		   100.666	    78.310	     0.010	      33.0	      32.9	       0.0
[pyrunlim] sample:		   110.777	    88.420	     0.020	      38.1	      38.1	       0.0
[pyrunlim] sample:		   120.889	    98.530	     0.020	      40.4	      40.4	       0.0
[pyrunlim] sample:		   131.000	   108.640	     0.020	      40.4	      40.4	       0.0
[pyrunlim] sample:		   140.101	   117.740	     0.020	      41.4	      41.4	       0.0
[pyrunlim] sample:		   150.213	   127.850	     0.020	      43.0	      43.0	       0.0
[pyrunlim] sample:		   160.324	   137.960	     0.020	      43.0	      43.0	       0.0
[pyrunlim] sample:		   170.435	   148.070	     0.020	      43.0	      43.0	       0.0
[pyrunlim] sample:		   180.546	   158.180	     0.020	      43.0	      43.0	       0.0
[pyrunlim] sample:		   190.657	   168.300	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   200.768	   178.410	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   210.880	   188.520	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   220.991	   198.630	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   230.092	   207.730	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   240.203	   217.840	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   250.314	   227.950	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   260.426	   238.060	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   270.537	   248.170	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   280.649	   258.290	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   290.760	   268.400	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   300.872	   278.510	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   310.983	   288.620	     0.020	      48.1	      48.1	       0.0
[pyrunlim] sample:		   320.083	   297.720	     0.020	      49.1	      49.1	       0.0
[pyrunlim] sample:		   330.194	   307.830	     0.020	      49.1	      49.1	       0.0
[pyrunlim] sample:		   340.305	   317.940	     0.020	      50.4	      50.4	       0.0
[pyrunlim] sample:		   350.416	   328.050	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   360.528	   338.160	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   370.640	   348.280	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   380.752	   358.390	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   390.864	   368.500	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   400.976	   378.610	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   410.077	   387.710	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   420.189	   397.820	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   430.302	   407.940	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   440.414	   418.050	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   450.526	   428.160	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   460.639	   438.270	     0.020	      56.4	      56.4	       0.0
[pyrunlim] sample:		   470.759	   445.960	     0.020	      56.4	      33.3	       0.0
[pyrunlim] sample:		   480.870	   456.070	     0.020	      56.4	      33.3	       0.0
[pyrunlim] sample:		   490.981	   466.180	     0.020	      56.4	      37.6	       0.0
[pyrunlim] sample:		   500.081	   475.280	     0.020	      56.4	      39.2	       0.0
[pyrunlim] sample:		   510.193	   485.390	     0.020	      56.4	      43.3	       0.0
[pyrunlim] sample:		   520.304	   495.500	     0.020	      56.4	      44.1	       0.0
[pyrunlim] sample:		   530.416	   505.610	     0.020	      56.4	      47.4	       0.0
[pyrunlim] sample:		   540.528	   515.730	     0.020	      56.4	      47.4	       0.0
[pyrunlim] sample:		   550.640	   525.840	     0.020	      56.4	      47.4	       0.0
[pyrunlim] sample:		   560.752	   535.950	     0.020	      56.4	      50.0	       0.0
[pyrunlim] sample:		   570.864	   546.060	     0.020	      56.4	      50.0	       0.0
[pyrunlim] sample:		   580.976	   556.170	     0.020	      56.4	      50.3	       0.0
[pyrunlim] sample:		   590.077	   565.270	     0.020	      56.4	      50.3	       0.0
[pyrunlim] sample:		   600.189	   575.390	     0.020	      56.4	      50.3	       0.0
[pyrunlim] sample:		   610.301	   585.500	     0.020	      56.4	      50.3	       0.0
[pyrunlim] sample:		   620.413	   595.610	     0.020	      56.4	      52.8	       0.0
[pyrunlim] sample:		   630.526	   605.720	     0.020	      56.4	      56.2	       0.0
[pyrunlim] sample:		   640.639	   615.830	     0.020	      56.4	      56.2	       0.0
[pyrunlim] sample:		   650.751	   625.950	     0.020	      56.4	      56.2	       0.0
[pyrunlim] sample:		   660.863	   636.060	     0.020	      61.9	      61.9	       0.0
[pyrunlim] sample:		   670.976	   646.170	     0.020	      62.1	      62.1	       0.0
[pyrunlim] sample:		   680.078	   655.270	     0.020	      62.1	      62.1	       0.0
[pyrunlim] sample:		   690.191	   665.380	     0.020	      62.1	      62.1	       0.0
[pyrunlim] sample:		   700.304	   675.500	     0.020	      62.1	      62.1	       0.0
[pyrunlim] sample:		   710.417	   685.610	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   720.531	   695.720	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   730.645	   705.840	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   740.758	   715.950	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   750.872	   726.070	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   760.985	   736.180	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   770.087	   745.280	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   780.200	   755.400	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   790.314	   765.510	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   800.427	   775.620	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   810.541	   785.730	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   820.654	   795.850	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   830.767	   805.960	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   840.881	   816.070	     0.020	      73.5	      73.5	       0.0
[pyrunlim] sample:		   850.994	   826.190	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   860.095	   835.290	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   870.209	   845.400	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   880.321	   855.510	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   890.433	   865.630	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   900.546	   875.740	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   910.659	   885.850	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   920.773	   895.960	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   930.886	   906.080	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   941.000	   916.190	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   950.102	   925.290	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   960.215	   935.400	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   970.329	   945.520	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   980.442	   955.630	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		   990.556	   965.750	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		  1000.669	   975.860	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		  1010.783	   985.970	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		  1020.896	   996.090	     0.020	      73.5	      70.1	       0.0
[pyrunlim] sample:		  1031.009	  1006.200	     0.020	      73.5	      70.1	       0.0
