[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_3_8_n8~ /home/emarolab/ASP/CAPF/ASP/clingo/data/3_8/3_8_n8.asp~ 3_8"
[pyrunlim] start:		Tue May 29 14:49:00 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.070	     9.760	     0.250	    1266.0	    1266.0	       0.0
[pyrunlim] sample:		    20.481	    19.810	     0.560	    2291.8	    2291.8	       0.0
[pyrunlim] sample:		    30.227	    29.220	     0.840	    3264.4	    3264.4	       0.0
[pyrunlim] sample:		    40.510	    39.200	     1.080	    4229.6	    4229.6	       0.0
[pyrunlim] sample:		    50.841	    48.930	     1.540	    6148.1	    6148.1	       0.0
[pyrunlim] sample:		    60.194	    58.240	     1.580	    6148.1	    5820.1	       0.0
[pyrunlim] sample:		    70.399	    64.630	     1.770	    6794.9	    6794.9	       0.0
[pyrunlim] sample:		    80.920	    68.320	     1.870	    7309.4	    7309.4	       0.0
[pyrunlim] sample:		    91.618	    69.420	     2.030	    7564.0	    7226.9	     209.5
[pyrunlim] sample:		   100.331	    69.460	     2.030	    7564.0	    7232.7	     206.1
[pyrunlim] sample:		   112.161	    69.480	     2.050	    7564.0	    7239.9	     201.1
[pyrunlim] sample:		   120.556	    69.550	     2.080	    7564.0	    7252.6	     192.4
[pyrunlim] sample:		   131.041	    69.660	     2.120	    7564.0	    7272.1	     179.2
[pyrunlim] sample:		   140.486	    69.750	     2.170	    7564.0	    7292.3	     166.0
[pyrunlim] sample:		   150.972	    69.860	     2.190	    7564.0	    7309.9	     154.8
[pyrunlim] sample:		   160.413	    69.990	     2.230	    7564.0	    7330.4	     142.1
[pyrunlim] sample:		   170.907	    70.120	     2.270	    7564.0	    7344.8	     136.6
[pyrunlim] sample:		   180.370	    70.210	     2.290	    7564.0	    7357.0	     129.1
[pyrunlim] sample:		   190.872	    70.280	     2.320	    7564.0	    7367.5	     122.9
[pyrunlim] sample:		   200.624	    70.390	     2.330	    7564.0	    7380.5	     115.6
[pyrunlim] sample:		   210.107	    70.510	     2.340	    7564.0	    7373.0	     128.7
[pyrunlim] sample:		   220.609	    70.620	     2.380	    7564.0	    7390.5	     118.6
[pyrunlim] sample:		   230.058	    70.720	     2.420	    7564.0	    7405.6	     110.2
[pyrunlim] sample:		   240.569	    70.820	     2.460	    7564.0	    7398.9	     123.8
[pyrunlim] sample:		   250.045	    70.910	     2.520	    7564.0	    7413.0	     116.2
[pyrunlim] sample:		   260.581	    70.990	     2.540	    7564.0	    7381.3	     152.6
[pyrunlim] sample:		   270.038	    71.070	     2.580	    7564.0	    7395.5	     143.7
[pyrunlim] sample:		   280.563	    71.170	     2.620	    7564.0	    7408.2	     136.7
[pyrunlim] sample:		   290.061	    71.220	     2.690	    7564.0	    7376.3	     173.6
[pyrunlim] sample:		   300.577	    71.310	     2.730	    7564.0	    7391.6	     163.5
[pyrunlim] sample:		   310.036	    71.390	     2.770	    7564.0	    7405.5	     154.6
[pyrunlim] sample:		   320.571	    71.450	     2.830	    7564.9	    7384.0	     180.9
[pyrunlim] sample:		   330.045	    71.530	     2.880	    7569.3	    7397.3	     171.9
[pyrunlim] sample:		   340.577	    71.610	     2.900	    7573.0	    7385.0	     188.0
[pyrunlim] sample:		   350.057	    71.660	     2.910	    7575.4	    7354.1	     221.2
[pyrunlim] sample:		   360.269	    71.690	     2.930	    7576.8	    7296.6	     280.2
[pyrunlim] sample:		   370.792	    71.730	     2.950	    7578.2	    7289.5	     288.7
[pyrunlim] sample:		   386.890	    71.790	     2.990	    7580.9	    7301.0	     280.0
[pyrunlim] sample:		   390.047	    71.800	     3.010	    7581.8	    7304.7	     277.0
[pyrunlim] sample:		   400.579	    71.850	     3.060	    7584.6	    7316.4	     268.2
[pyrunlim] sample:		   410.056	    71.910	     3.100	    7586.8	    7325.5	     261.3
[pyrunlim] sample:		   420.586	    71.980	     3.140	    7589.6	    7336.6	     253.0
[pyrunlim] sample:		   430.094	    72.040	     3.170	    7591.9	    7243.9	     348.0
[pyrunlim] sample:		   440.645	    72.090	     3.210	    7594.3	    7256.0	     338.3
[pyrunlim] sample:		   450.134	    72.150	     3.250	    7596.8	    7268.4	     328.4
