[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_12_n9 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_12/7_12_n9.asp 7_12"
[pyrunlim] start:		Sun Jun 10 08:50:33 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.339	    10.300	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    20.059	    20.020	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    30.692	    30.660	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    40.812	    40.780	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    50.932	    50.900	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    60.040	    60.000	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    70.160	    70.120	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    80.280	    80.240	     0.000	     112.9	     101.5	       0.0
[pyrunlim] sample:		    90.401	    90.360	     0.000	     112.9	     101.8	       0.0
[pyrunlim] sample:		   100.522	   100.480	     0.000	     112.9	     101.8	       0.0
[pyrunlim] sample:		   110.644	   110.600	     0.000	     112.9	     101.8	       0.0
[pyrunlim] sample:		   120.764	   120.720	     0.000	     112.9	     101.8	       0.0
[pyrunlim] sample:		   130.885	   130.840	     0.000	     112.9	     101.8	       0.0
[pyrunlim] sample:		   141.007	   140.960	     0.000	     112.9	     102.0	       0.0
[pyrunlim] sample:		   150.117	   150.070	     0.000	     112.9	     102.0	       0.0
[pyrunlim] sample:		   160.238	   160.190	     0.000	     112.9	     102.0	       0.0
[pyrunlim] sample:		   170.359	   170.310	     0.000	     112.9	     102.0	       0.0
[pyrunlim] sample:		   180.481	   180.440	     0.000	     112.9	     102.0	       0.0
[pyrunlim] sample:		   190.601	   190.560	     0.000	     112.9	     102.0	       0.0
[pyrunlim] sample:		   200.723	   200.680	     0.000	     112.9	     102.0	       0.0
[pyrunlim] sample:		   210.845	   210.800	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   220.966	   220.920	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   230.074	   230.030	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   240.195	   240.150	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   250.315	   250.270	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   260.437	   260.390	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   270.558	   270.510	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   280.679	   280.630	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   290.800	   290.760	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   300.923	   300.880	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   310.033	   309.990	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   320.153	   320.110	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   330.275	   330.230	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   340.397	   340.350	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   350.518	   350.470	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   360.640	   360.590	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   370.761	   370.710	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   380.882	   380.830	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   391.004	   390.950	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   400.113	   400.070	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   410.235	   410.190	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   420.357	   420.310	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   430.479	   430.430	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   440.601	   440.550	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   450.723	   450.670	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   460.846	   460.790	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   470.968	   470.920	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   480.078	   480.020	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   490.200	   490.150	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   500.323	   500.270	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   510.445	   510.390	     0.000	     112.9	     102.5	       0.0
[pyrunlim] sample:		   520.566	   520.510	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   530.689	   530.640	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   540.811	   540.750	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   550.933	   550.880	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   560.043	   559.990	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   570.165	   570.110	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   580.287	   580.230	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   590.410	   590.350	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   600.531	   600.470	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   610.654	   610.600	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   620.775	   620.720	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   630.897	   630.840	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   640.006	   639.950	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   650.128	   650.070	     0.000	     112.9	     103.3	       0.0
[pyrunlim] sample:		   660.250	   660.190	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   670.372	   670.320	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   680.493	   680.440	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   690.615	   690.560	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   700.737	   700.680	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   710.859	   710.800	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   720.981	   720.920	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   730.090	   730.030	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   740.212	   740.150	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   750.334	   750.270	     0.000	     112.9	     103.6	       0.0
[pyrunlim] sample:		   760.455	   760.390	     0.000	     112.9	     103.6	       0.0
