[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_8_n2 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_8/7_8_n2.asp 7_8"
[pyrunlim] start:		Thu Jun  7 19:54:07 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.495	     0.010	     0.000	       7.7	       7.7	       0.0
[pyrunlim] sample:		    20.259	     2.190	     0.010	      27.0	       7.7	       0.0
[pyrunlim] sample:		    30.887	    10.780	     0.010	      29.3	       7.7	       0.0
[pyrunlim] sample:		    40.998	    19.450	     0.010	      31.6	      31.6	       0.0
[pyrunlim] sample:		    50.094	    28.550	     0.010	      31.6	      31.6	       0.0
[pyrunlim] sample:		    60.201	    38.650	     0.010	      31.9	      31.9	       0.0
[pyrunlim] sample:		    70.320	    46.570	     0.010	      33.5	      33.5	       0.0
[pyrunlim] sample:		    80.427	    56.680	     0.010	      35.8	      35.8	       0.0
[pyrunlim] sample:		    90.534	    66.790	     0.010	      38.7	      38.7	       0.0
[pyrunlim] sample:		   100.641	    76.890	     0.010	      38.7	      38.7	       0.0
[pyrunlim] sample:		   110.748	    87.000	     0.010	      38.7	      38.7	       0.0
[pyrunlim] sample:		   120.856	    97.090	     0.020	      41.0	      41.0	       0.0
[pyrunlim] sample:		   130.963	   107.190	     0.030	      54.4	      54.4	       0.0
[pyrunlim] sample:		   140.061	   116.290	     0.030	      54.4	      52.4	       0.0
[pyrunlim] sample:		   150.169	   126.400	     0.030	      54.4	      52.4	       0.0
[pyrunlim] sample:		   160.277	   136.500	     0.030	      54.4	      52.4	       0.0
[pyrunlim] sample:		   170.385	   146.610	     0.030	      54.4	      52.4	       0.0
[pyrunlim] sample:		   180.493	   156.720	     0.030	      54.4	      52.4	       0.0
[pyrunlim] sample:		   190.602	   166.830	     0.030	      54.4	      52.4	       0.0
[pyrunlim] sample:		   200.711	   176.940	     0.030	      54.4	      52.4	       0.0
[pyrunlim] sample:		   210.820	   187.050	     0.030	      57.3	      57.3	       0.0
[pyrunlim] sample:		   220.929	   197.160	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   230.027	   206.260	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   240.136	   216.360	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   250.244	   226.470	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   260.354	   236.580	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   270.463	   246.690	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   280.573	   256.800	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   290.682	   266.910	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   300.792	   277.020	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   310.901	   287.130	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   321.011	   297.240	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   330.110	   306.340	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   340.219	   316.450	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   350.329	   326.560	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   360.438	   336.670	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   370.546	   346.770	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   380.655	   356.880	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   390.764	   366.990	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   400.873	   377.100	     0.030	      60.4	      60.4	       0.0
[pyrunlim] sample:		   410.982	   387.210	     0.030	      64.5	      64.5	       0.0
[pyrunlim] sample:		   420.081	   396.300	     0.030	      64.5	      61.8	       0.0
[pyrunlim] sample:		   430.190	   406.420	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   440.299	   416.520	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   450.409	   426.630	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   460.518	   436.740	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   470.627	   446.850	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   480.735	   456.960	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   490.845	   467.070	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   500.954	   477.180	     0.030	      64.5	      62.8	       0.0
[pyrunlim] sample:		   510.052	   486.280	     0.030	      71.1	      71.1	       0.0
[pyrunlim] sample:		   520.161	   496.390	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   530.270	   506.500	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   540.379	   516.600	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   550.489	   526.710	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   560.598	   536.820	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   570.708	   546.930	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   580.817	   557.040	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   590.927	   567.150	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   600.025	   576.250	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   610.134	   586.360	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   620.243	   596.470	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   630.352	   606.570	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   640.461	   616.690	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   650.571	   626.790	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   660.680	   636.900	     0.030	      71.8	      71.8	       0.0
[pyrunlim] sample:		   670.790	   647.010	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   680.898	   657.120	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   691.006	   667.230	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   700.105	   676.320	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   710.213	   686.440	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   720.323	   696.540	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   730.432	   706.650	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   740.541	   716.760	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   750.651	   726.870	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   760.760	   736.980	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   770.871	   747.090	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   780.983	   757.200	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   790.083	   766.300	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   800.194	   776.420	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   810.305	   786.520	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   820.415	   796.630	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   830.526	   806.750	     0.030	      77.3	      77.3	       0.0
[pyrunlim] sample:		   840.637	   816.860	     0.030	      77.3	      77.3	       0.0
