[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_9_n2 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_9/7_9_n2.asp 7_9"
[pyrunlim] start:		Tue Jun 12 20:20:13 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.008	     0.020	     0.000	      14.9	       7.7	       0.0
[pyrunlim] sample:		    20.307	     0.990	     0.000	      34.1	      34.1	       0.0
[pyrunlim] sample:		    30.957	     8.340	     0.000	      37.2	       7.7	       0.0
[pyrunlim] sample:		    40.073	    15.940	     0.010	      40.1	      40.1	       0.0
[pyrunlim] sample:		    50.197	    26.070	     0.010	      40.1	      40.1	       0.0
[pyrunlim] sample:		    60.320	    36.190	     0.010	      41.7	      41.7	       0.0
[pyrunlim] sample:		    70.444	    46.320	     0.010	      42.9	      42.9	       0.0
[pyrunlim] sample:		    80.570	    56.440	     0.010	      44.7	      44.7	       0.0
[pyrunlim] sample:		    90.694	    66.560	     0.010	      44.7	      44.7	       0.0
[pyrunlim] sample:		   100.819	    76.690	     0.010	      47.1	      47.1	       0.0
[pyrunlim] sample:		   110.944	    86.810	     0.010	      47.3	      47.3	       0.0
[pyrunlim] sample:		   120.060	    93.730	     0.010	      47.3	      43.2	       0.0
[pyrunlim] sample:		   130.184	   103.860	     0.010	      47.3	      44.5	       0.0
[pyrunlim] sample:		   140.308	   113.980	     0.010	      47.3	      44.5	       0.0
[pyrunlim] sample:		   150.433	   124.100	     0.010	      47.3	      44.5	       0.0
[pyrunlim] sample:		   160.558	   134.220	     0.010	      47.3	      45.5	       0.0
[pyrunlim] sample:		   170.684	   144.350	     0.020	      52.7	      52.7	       0.0
[pyrunlim] sample:		   180.810	   154.470	     0.020	      52.7	      52.7	       0.0
[pyrunlim] sample:		   190.937	   164.600	     0.020	      53.8	      53.8	       0.0
[pyrunlim] sample:		   200.050	   173.710	     0.020	      53.8	      53.8	       0.0
[pyrunlim] sample:		   210.176	   183.830	     0.020	      58.9	      58.9	       0.0
[pyrunlim] sample:		   220.303	   193.960	     0.020	      58.9	      58.9	       0.0
