[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_8_9_n2 /home/emarolab/ASP/CAPF/ASP/clingo/data/8_9/8_9_n2.asp 8_9"
[pyrunlim] start:		Wed Jun 13 10:18:03 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.035	     0.020	     0.000	      13.8	       7.5	       0.0
[pyrunlim] sample:		    20.353	     1.250	     0.000	      36.2	       7.5	       0.0
[pyrunlim] sample:		    31.000	     9.400	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		    40.113	    18.510	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		    50.239	    28.640	     0.010	      44.1	      44.1	       0.0
[pyrunlim] sample:		    60.377	    36.510	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		    70.504	    46.630	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		    80.630	    56.760	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		    90.756	    66.880	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   100.883	    77.010	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   111.009	    87.140	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   120.122	    96.250	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   130.249	   106.380	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   140.375	   116.500	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   150.501	   126.630	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   160.628	   136.750	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   170.754	   146.880	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   180.879	   157.000	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   191.005	   167.130	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   200.118	   176.240	     0.010	      48.0	      48.0	       0.0
[pyrunlim] sample:		   210.256	   184.020	     0.010	      51.5	      51.5	       0.0
[pyrunlim] sample:		   220.383	   194.150	     0.010	      51.5	      51.5	       0.0
[pyrunlim] sample:		   230.510	   204.280	     0.010	      51.5	      51.5	       0.0
[pyrunlim] sample:		   240.638	   214.400	     0.010	      51.5	      51.5	       0.0
[pyrunlim] sample:		   250.764	   224.530	     0.010	      51.5	      51.5	       0.0
[pyrunlim] sample:		   260.891	   234.650	     0.010	      51.8	      51.8	       0.0
[pyrunlim] sample:		   270.006	   243.770	     0.010	      53.9	      53.9	       0.0
[pyrunlim] sample:		   280.134	   253.890	     0.010	      63.1	      63.1	       0.0
[pyrunlim] sample:		   290.262	   264.020	     0.010	      63.1	      63.1	       0.0
[pyrunlim] sample:		   300.390	   274.150	     0.010	      64.4	      64.4	       0.0
[pyrunlim] sample:		   310.519	   284.280	     0.010	      64.4	      64.4	       0.0
[pyrunlim] sample:		   320.647	   294.410	     0.010	      64.4	      64.4	       0.0
[pyrunlim] sample:		   330.774	   304.530	     0.010	      64.4	      64.4	       0.0
[pyrunlim] sample:		   340.903	   314.660	     0.010	      64.4	      64.4	       0.0
[pyrunlim] sample:		   350.018	   323.780	     0.010	      64.4	      64.4	       0.0
[pyrunlim] sample:		   360.146	   333.910	     0.010	      64.4	      64.4	       0.0
[pyrunlim] sample:		   370.275	   344.030	     0.010	      68.8	      68.8	       0.0
